,País,Casos totales,Nuevos casos,Casos activos,Recuperados,Casos críticos,Muertes hoy,Muertes
0,Estados Unidos,5681160,25186,3036111,2469235,0,740,175814
1,Brasil,3418306,6434,2554179,753956,0,152,110171
2,India,2835822,69196,2096068,685760,0,980,53994
3,Rusia,937321,4828,749423,171909,0,117,15989
4,Sudafrica,592144,0,485468,94412,0,0,12264
5,Peru,549321,0,374019,148644,0,0,26658
6,Mexico,531239,5506,363307,110158,0,751,57774
7,Colombia,489122,0,312323,161180,0,0,15619
8,Chile,390037,1182,364285,15174,0,32,10578
9,España,387985,3715,0,0,0,127,28797
10,Iran,350279,2444,302528,27626,0,153,20125
11,Reino Unido,321098,812,0,0,0,16,41397
12,Argentina,305966,0,228725,71127,0,66,6114
13,Arabia Saudita,302686,1363,274091,25089,0,36,3506
14,Pakistan,290445,613,272128,12116,0,11,6201
15,Banglades,285091,2747,165738,115572,0,41,3781
16,Italia,255278,642,204506,15360,0,7,35412
17,Turquia,253108,1303,233915,13154,0,23,6039
18,Alemania,229459,1354,203900,16245,0,9,9314
19,Francia,225043,3776,84065,110510,0,17,30468
20,Irak,188802,4093,134369,48312,0,85,6121
21,Filipinas,173774,4650,113481,57498,0,111,2795
22,Indonesia,144945,1902,98657,39942,0,69,6346
23,Canada,123321,167,109602,4673,0,1,9046
24,Catar,115956,295,112658,3105,0,0,193
25,Ecuador,104475,1534,87277,11052,0,41,6146
26,Kazajistan,103571,271,86286,15870,0,0,1415
27,Bolivia,103019,1796,38623,60224,0,49,4172
28,Israel,97783,1374,73084,23918,0,73,781
29,Egipto,96753,0,61562,30007,0,0,5184
30,Ucrania,96403,1967,49737,44522,0,28,2144
31,Republica Dominicana,88127,1004,56760,29866,0,12,1501
32,Suecia,85411,0,0,0,0,5,5802
33,China,84888,17,79685,569,0,0,4634
34,Oman,83606,188,78188,4815,0,6,603
35,Panama,82790,0,57191,23790,0,0,1809
36,Belgica,78897,363,18048,50890,0,15,9959
37,Kuwait,78145,675,69771,7867,0,2,507
38,Rumania,73617,1409,33566,36945,0,32,3106
39,Bielorrusia,69801,128,67647,1532,0,5,622
40,Emiratos Arabes Unidos,65341,435,58022,6952,0,1,367
41,Guatemala,64881,1034,53362,9052,0,48,2467
42,Paises Bajos,64525,552,0,0,0,6,6181
